audit_id,slice,sample_id,dataset_id,source,language,task_type,query,schema_fields,temporal_metadata,gold_intent,human_answerability_correct,human_intent_correct,human_corrected_intent,human_notes,annotator_id
ha_001,recent_window,paper09x_001461,derived_economy_trade_profile,Derived from World Bank/OWID normalized tables,en,temporal_recent_window,Show the most recent 10-year pattern of gdp per capita for Indonesia.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | gdp_per_capita:quantitative/measure | gdp_growth:quantitative/measure | inflation_cpi:quantitative/measure | exports_share_gdp:quantitative/measure | imports_share_gdp:quantitative/measure,"{""distinct_years"": 64, ""latest_year"": 2024, ""previous_10_end"": 2014, ""previous_10_start"": 2005, ""recent_10_end"": 2024, ""recent_10_start"": 2015, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2024, ""year_min"": 1961}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""gdp_per_capita"", ""required_fields"": [""country"", ""gdp_per_capita"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2015-2024"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_002,recent_window,paper09x_001477,derived_economy_trade_profile,Derived from World Bank/OWID normalized tables,vi,temporal_recent_window,Cho toi bieu do 10 nam gan nhat cua gdp per capita o Indonesia.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | gdp_per_capita:quantitative/measure | gdp_growth:quantitative/measure | inflation_cpi:quantitative/measure | exports_share_gdp:quantitative/measure | imports_share_gdp:quantitative/measure,"{""distinct_years"": 64, ""latest_year"": 2024, ""previous_10_end"": 2014, ""previous_10_start"": 2005, ""recent_10_end"": 2024, ""recent_10_start"": 2015, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2024, ""year_min"": 1961}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""gdp_per_capita"", ""required_fields"": [""country"", ""gdp_per_capita"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2015-2024"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_003,recent_window,paper09x_001577,derived_education_profile,Derived from World Bank/OWID normalized tables,en,temporal_recent_window,Show the most recent 10-year pattern of primary school enrollment for Thailand.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | primary_school_enrollment:quantitative/measure | secondary_school_enrollment:quantitative/measure | tertiary_school_enrollment:quantitative/measure | education_expenditure_share_gdp:quantitative/measure | literacy_rate_adult:quantitative/measure,"{""distinct_years"": 21, ""latest_year"": 2023, ""previous_10_end"": 2013, ""previous_10_start"": 2004, ""recent_10_end"": 2023, ""recent_10_start"": 2014, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2023, ""year_min"": 1980}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""primary_school_enrollment"", ""required_fields"": [""country"", ""primary_school_enrollment"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2014-2023"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_004,recent_window,paper09x_001593,derived_education_profile,Derived from World Bank/OWID normalized tables,vi,temporal_recent_window,Cho toi bieu do 10 nam gan nhat cua primary school enrollment o Thailand.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | primary_school_enrollment:quantitative/measure | secondary_school_enrollment:quantitative/measure | tertiary_school_enrollment:quantitative/measure | education_expenditure_share_gdp:quantitative/measure | literacy_rate_adult:quantitative/measure,"{""distinct_years"": 21, ""latest_year"": 2023, ""previous_10_end"": 2013, ""previous_10_start"": 2004, ""recent_10_end"": 2023, ""recent_10_start"": 2014, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2023, ""year_min"": 1980}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""primary_school_enrollment"", ""required_fields"": [""country"", ""primary_school_enrollment"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2014-2023"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_005,recent_window,paper09x_001490,derived_gdp_structure_profile,Derived from World Bank/OWID normalized tables,en,temporal_recent_window,Show the most recent 10-year pattern of agriculture share gdp for Indonesia.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | agriculture_share_gdp:quantitative/measure | industry_share_gdp:quantitative/measure | services_share_gdp:quantitative/measure,"{""distinct_years"": 65, ""latest_year"": 2024, ""previous_10_end"": 2014, ""previous_10_start"": 2005, ""recent_10_end"": 2024, ""recent_10_start"": 2015, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2024, ""year_min"": 1960}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""agriculture_share_gdp"", ""required_fields"": [""agriculture_share_gdp"", ""country"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2015-2024"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_006,recent_window,paper09x_001506,derived_gdp_structure_profile,Derived from World Bank/OWID normalized tables,vi,temporal_recent_window,Cho toi bieu do 10 nam gan nhat cua agriculture share gdp o Indonesia.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | agriculture_share_gdp:quantitative/measure | industry_share_gdp:quantitative/measure | services_share_gdp:quantitative/measure,"{""distinct_years"": 65, ""latest_year"": 2024, ""previous_10_end"": 2014, ""previous_10_start"": 2005, ""recent_10_end"": 2024, ""recent_10_start"": 2015, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2024, ""year_min"": 1960}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""agriculture_share_gdp"", ""required_fields"": [""agriculture_share_gdp"", ""country"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2015-2024"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_007,recent_window,paper09x_001519,derived_population_profile,Derived from World Bank/OWID normalized tables,en,temporal_recent_window,Show the most recent 10-year pattern of population for Vietnam.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | population:quantitative/measure | population_growth:quantitative/measure | urban_population_share:quantitative/measure | fertility_rate:quantitative/measure | age_dependency_ratio:quantitative/measure,"{""distinct_years"": 64, ""latest_year"": 2024, ""previous_10_end"": 2014, ""previous_10_start"": 2005, ""recent_10_end"": 2024, ""recent_10_start"": 2015, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2024, ""year_min"": 1961}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""population"", ""required_fields"": [""country"", ""population"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2015-2024"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_008,recent_window,paper09x_001535,derived_population_profile,Derived from World Bank/OWID normalized tables,vi,temporal_recent_window,Cho toi bieu do 10 nam gan nhat cua population o Vietnam.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | population:quantitative/measure | population_growth:quantitative/measure | urban_population_share:quantitative/measure | fertility_rate:quantitative/measure | age_dependency_ratio:quantitative/measure,"{""distinct_years"": 64, ""latest_year"": 2024, ""previous_10_end"": 2014, ""previous_10_start"": 2005, ""recent_10_end"": 2024, ""recent_10_start"": 2015, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2024, ""year_min"": 1961}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""population"", ""required_fields"": [""country"", ""population"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2015-2024"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_009,recent_window,paper09x_001407,owid_life_expectancy_vietnam,Our World in Data Grapher API,en,temporal_recent_window,Show the most recent 10-year pattern of life expectancy for Thailand.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | life_expectancy:quantitative/measure,"{""distinct_years"": 74, ""latest_year"": 2023, ""previous_10_end"": 2013, ""previous_10_start"": 2004, ""recent_10_end"": 2023, ""recent_10_start"": 2014, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2023, ""year_min"": 1950}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""life_expectancy"", ""required_fields"": [""country"", ""life_expectancy"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2014-2023"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_010,recent_window,paper09x_001423,owid_life_expectancy_vietnam,Our World in Data Grapher API,vi,temporal_recent_window,Cho toi bieu do 10 nam gan nhat cua life expectancy o Thailand.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | life_expectancy:quantitative/measure,"{""distinct_years"": 74, ""latest_year"": 2023, ""previous_10_end"": 2013, ""previous_10_start"": 2004, ""recent_10_end"": 2023, ""recent_10_start"": 2014, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2023, ""year_min"": 1950}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""life_expectancy"", ""required_fields"": [""country"", ""life_expectancy"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2014-2023"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
